crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,status_report
burglary,kingswood,2021-06-10,m,tamil,42,05:44:00,Rainy,7.278114254,80.61690886,Non-Holiday,0,Commercial,Welata,LK2130170,21826,292.4,tamil,Valid
burglary,gatambe bridge,2021-06-11,f,sinhala,56,06:56:00,Rainy,7.273530469,80.60660643,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,728.3,sinhala,Valid
drugs,municipal indoor sports complex,2021-06-14,f,sinhala,55,01:56:00,Rainy,7.282778999,80.62481039,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,95.1,sinhala,Valid
stabbing,new queens hotel,2021-06-14,m,sinhala,45,14:43:00,Rainy,7.29201379,80.63871834,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,562.6,sinhala,Valid
burglary,uda peradeniya bowalawatte,2021-06-16,f,sinhala,51,09:11:00,Rainy,7.25714062,80.62613988,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,933.4,sinhala,Valid
burglary,yatinuwara lane,2021-06-17,f,sinhala,53,07:45:00,Rainy,7.292088352,80.63722159,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,493.2,sinhala,Valid
theft,car park,2021-06-17,f,sinhala,57,12:48:00,Rainy,7.282747107,80.62165266,Non-Holiday,0,Commercial,Suduhumpala West,LK2130165,18808,241.7,sinhala,Valid
stabbing,urawela junction,2021-06-18,f,sinhala,49,02:14:00,Rainy,7.289347555,80.6348813,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,289.9,sinhala,Valid
burglary,udabowala,2021-06-18,m,sinhala,35,20:44:00,Rainy,7.26400129,80.61446872,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,436.5,sinhala,Valid
burglary,thalathuoya road,2021-06-19,m,sinhala,30,05:17:00,Rainy,7.246985685,80.68538434,Non-Holiday,0,General Urban,Batagalla,LK2145100,1785,424.0,sinhala,Valid
burglary,peradeniya road,2021-06-20,m,sinhala,35,09:55:00,Rainy,7.283069337,80.62256968,Non-Holiday,0,General Urban,Katukele West,LK2130105,8913,249.1,sinhala,Valid
burglary,yatinuwara lane,2021-06-20,f,sinhala,53,10:46:00,Rainy,7.294896204,80.63488273,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,219.9,sinhala,Valid
theft,peradeniya kfc,2021-06-21,m,sinhala,61,18:07:00,Rainy,7.283859892,80.62366253,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,237.8,sinhala,Valid
drugs,train station,2021-06-24,m,sinhala,34,03:13:00,Rainy,7.290540517,80.63405653,Poson Full Moon Poya Day,1,General Urban,Bogambara,LK2130145,2198,351.6,sinhala,Valid
burglary,municipal indoor sports complex,2021-06-25,m,sinhala,34,15:58:00,Rainy,7.283511836,80.62666588,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,176.3,sinhala,Valid
stabbing,peradeniya kfc,2021-06-25,m,muslim,45,16:43:00,Rainy,7.284695655,80.62517751,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,262.8,muslim,Valid
robbery,pathanawatte heerassagala,2021-06-28,f,sinhala,45,18:37:00,Rainy,7.262979969,80.62004967,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,478.6,sinhala,Valid
drugs,thilakawardhana,2021-06-29,m,sinhala,50,09:07:00,Rainy,7.284175757,80.62368821,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,219.1,sinhala,Valid
robbery,ogastawatte,2021-06-30,m,sinhala,25,07:37:00,Rainy,7.289538089,80.63408313,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,251.5,sinhala,Valid
theft,aniwatte,2021-07-02,m,sinhala,52,14:51:00,Rainy,7.291879572,80.62491369,Non-Holiday,0,General Urban,Katukele,LK2130110,8909,302.2,sinhala,Valid
theft,aniwatte,2021-07-03,m,sinhala,52,01:00:00,Rainy,7.292840749,80.62500728,Non-Holiday,0,General Urban,Katukele,LK2130110,8909,296.2,sinhala,Valid
burglary,buwelikada,2021-07-04,m,tamil,51,07:09:00,Rainy,7.297364149,80.65183172,Non-Holiday,0,Commercial,Thalwatta,LK2130130,19105,271.6,tamil,Valid
burglary,ampitiya town,2021-07-05,m,tamil,47,19:59:00,Rainy,7.272363754,80.65935981,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,495.4,tamil,Valid
burglary,hanthane town,2021-07-07,m,sinhala,47,14:03:00,Rainy,7.267780784,80.63448056,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,646.1,sinhala,Valid
burglary,dharmasena lane,2021-07-07,m,sinhala,37,15:44:00,Rainy,7.271489286,80.59150393,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,276.0,sinhala,Valid
vehicle theft,hanthane kadurata malshalawa,2021-07-09,m,sinhala,41,00:09:00,Rainy,7.290096693,80.6325697,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,283.9,sinhala,Valid
burglary,ampitiya town,2021-07-11,m,tamil,47,05:31:00,Rainy,7.272837145,80.6586207,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,563.4,tamil,Valid
burglary,suduhumpola,2021-07-16,m,sinhala,58,13:47:00,Rainy,7.281347454,80.62426621,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,182.3,sinhala,Valid
theft,sky gate hotel,2021-07-16,m,sinhala,35,22:53:00,Rainy,7.285170488,80.65442332,Non-Holiday,0,Commercial,Ampitiya North,LK2130230,926,442.9,sinhala,Valid
stabbing,walespark,2021-07-18,m,sinhala,61,16:39:00,Rainy,7.291914055,80.63913836,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,545.4,sinhala,Valid
drugs,urawela junction,2021-07-19,m,sinhala,56,06:55:00,Rainy,7.290789554,80.63530684,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,441.8,sinhala,Valid
stabbing,walespark,2021-07-19,m,sinhala,61,22:57:00,Rainy,7.292047707,80.63929228,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,524.0,sinhala,Valid
burglary,hanthane town,2021-07-20,m,sinhala,68,01:20:00,Cloudy,7.266071338,80.63430587,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,837.1,sinhala,Valid
theft,aniwatte,2021-07-20,f,sinhala,50,09:07:00,Cloudy,7.293359291,80.62318112,Non-Holiday,0,General Urban,Bahirawa Kanda,LK2130090,1508,307.7,sinhala,Valid
drugs,new queens hotel,2021-07-20,m,sinhala,77,13:17:00,Cloudy,7.291300103,80.63726932,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,579.8,sinhala,Valid
theft,post office,2021-07-25,f,sinhala,39,13:02:00,Rainy,7.289347788,80.63122631,Non-Holiday,0,Commercial,Deiyannewela,LK2130150,3143,246.2,sinhala,Valid
drugs,walespark,2021-07-26,m,sinhala,65,15:05:00,Rainy,7.289675254,80.63811985,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,615.7,sinhala,Valid
theft,dalada maligawa,2021-07-26,f,sinhala,48,15:39:00,Rainy,7.295530349,80.64058274,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,389.1,sinhala,Valid
theft,post office,2021-07-28,f,sinhala,39,18:00:00,Rainy,7.289599635,80.63139351,Non-Holiday,0,Commercial,Deiyannewela,LK2130150,3143,276.5,sinhala,Valid
drugs,udabowala,2021-07-28,f,sinhala,22,23:33:00,Rainy,7.267060137,80.613774,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,236.2,sinhala,Valid
theft,thannekumbura,2021-07-30,f,sinhala,23,21:52:00,Rainy,7.284508423,80.66208816,Non-Holiday,0,General Urban,Thennakumbura,LK2130240,19383,242.9,sinhala,Valid
drugs,bogambara prison,2021-07-30,m,sinhala,42,22:43:00,Rainy,7.288939382,80.63474458,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,249.1,sinhala,Valid
theft,dalada maligawa,2021-08-01,f,sinhala,48,06:18:00,Rainy,7.294367811,80.64036673,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,369.8,sinhala,Valid
burglary,meekanuwa watarauma,2021-08-01,m,sinhala,78,06:30:00,Rainy,7.280469186,80.65587251,Non-Holiday,0,General Urban,Ampitiya Udagama North,LK2130235,931,235.3,sinhala,Valid
burglary,apiit campus,2021-08-02,m,sinhala,65,04:28:00,Rainy,7.279047796,80.61905419,Non-Holiday,0,Commercial,Suduhumpala West,LK2130165,18808,446.5,sinhala,Valid
vehicle theft,yatinuwara street,2021-08-02,f,muslim,15,05:51:00,Rainy,7.295423975,80.63536204,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,140.9,muslim,Valid
burglary,heerassagala,2021-08-03,m,sinhala,49,14:07:00,Rainy,7.261587315,80.61735027,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,271.4,sinhala,Valid
robbery,wewathanne road,2021-08-04,m,sinhala,34,05:56:00,Rainy,7.169446529,80.59728205,Non-Holiday,0,Commercial,Inguruwatta,LK2142075,7300,737.5,sinhala,Valid
robbery,mahaiyawa,2021-08-09,m,tamil,40,11:42:00,Rainy,7.304073508,80.6335393,Non-Holiday,0,General Urban,Mahaiyawa,LK2130065,11543,233.7,tamil,Valid
robbery,watapuluwa,2021-08-11,m,sinhala,32,06:09:00,Rainy,7.317911128,80.64325848,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,246.6,sinhala,Valid
burglary,municipal indoor sports complex,2021-08-16,f,sinhala,61,00:52:00,Rainy,7.283262821,80.62698589,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,186.1,sinhala,Valid
burglary,municipal indoor sports complex,2021-08-17,f,sinhala,61,21:23:00,Rainy,7.286665662,80.62549686,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,415.2,sinhala,Valid
drugs,aruppala,2021-08-18,f,sinhala,57,03:04:00,Rainy,7.309682749,80.64454158,Non-Holiday,0,General Urban,Aruppala East,LK2130050,1293,179.5,sinhala,Valid
theft,peradeniya road,2021-08-20,m,sinhala,33,20:09:00,Rainy,7.281050251,80.61906082,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,400.2,sinhala,Valid
robbery,buwelikada,2021-08-22,m,sinhala,54,11:57:00,Rainy,7.293746713,80.64449656,Nikini Full Moon Poya Day,1,General Urban,Boowelikada,LK2130135,2310,90.9,sinhala,Valid
robbery,yatinuwara street,2021-08-22,m,sinhala,41,20:16:00,Rainy,7.294229422,80.63508529,Nikini Full Moon Poya Day,1,General Urban,Mahanuwara,LK2130120,11613,269.8,sinhala,Valid
drugs,suduhumpola,2021-08-24,f,sinhala,66,21:30:00,Rainy,7.281926298,80.6242334,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,154.5,sinhala,Valid
drugs,hanthane town,2021-08-27,f,sinhala,53,01:54:00,Rainy,7.267278922,80.63539839,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,697.4,sinhala,Valid
vehicle theft,bus stand,2021-08-27,f,sinhala,59,16:41:00,Rainy,7.289984861,80.6295558,Non-Holiday,0,Commercial,Deiyannewela,LK2130150,3143,194.9,sinhala,Valid
robbery,wattegama,2021-08-29,m,sinhala,65,18:52:00,Rainy,7.348812979,80.68460491,Non-Holiday,0,General Urban,Wattegama North,LK2112075,21578,468.9,sinhala,Valid
stabbing,rajapihilla road,2021-09-02,foreign couple,sinhala,49,00:17:00,Rainy,7.287990784,80.64079345,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,725.7,sinhala,Valid
theft,katugasthota,2021-09-03,m,sinhala,38,03:24:00,Rainy,7.33627057,80.62074788,Non-Holiday,0,General Urban,Kalugalawatta,LK2112245,8028,294.8,sinhala,Valid
theft,william gopallawa lane,2021-09-03,m,sinhala,41,16:38:00,Rainy,7.289801022,80.63198181,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,270.1,sinhala,Valid
robbery,wattegama,2021-09-03,m,sinhala,65,21:17:00,Rainy,7.348014705,80.68508891,Non-Holiday,0,General Urban,Wattegama North,LK2112075,21578,564.7,sinhala,Valid
drugs,mulgampola,2021-09-04,m,tamil,46,21:54:00,Rainy,7.280590011,80.61815801,Non-Holiday,0,General Urban,Welata,LK2130170,21826,469.1,tamil,Valid
theft,watapuluwa,2021-09-04,m,sinhala,53,22:32:00,Rainy,7.31567111,80.64121755,Non-Holiday,0,General Urban,Watapuluwa,LK2130035,21490,188.9,sinhala,Valid
drugs,dharmasena lane,2021-09-06,m,sinhala,42,09:28:00,Rainy,7.270108592,80.59187855,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,315.1,sinhala,Valid
stabbing,malwatte,2021-09-06,m,muslim,30,21:30:00,Rainy,7.276815352,80.64380684,Non-Holiday,0,General Urban,Malwatta,LK2130140,12099,311.1,muslim,Valid
stabbing,rajapihilla road,2021-09-08,foreign couple,sinhala,49,00:29:00,Rainy,7.28614889,80.6412815,Non-Holiday,0,General Urban,Ampitiya South,LK2130225,929,688.8,sinhala,Valid
theft,william gopallawa lane,2021-09-08,m,sinhala,41,06:35:00,Rainy,7.290841996,80.63230618,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,325.1,sinhala,Valid
stabbing,sri wickramasinghe mawatha,2021-09-09,m,sinhala,28,22:45:00,Cloudy,7.289248666,80.63948411,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,690.3,sinhala,Valid
drugs,mulgampola,2021-09-10,m,tamil,46,14:23:00,Rainy,7.278918577,80.61854885,Non-Holiday,0,General Urban,Welata,LK2130170,21826,465.3,tamil,Valid
burglary,asgiriya,2021-09-11,f,sinhala,48,22:38:00,Cloudy,7.299111083,80.63106295,Non-Holiday,0,General Urban,Asgiriya,LK2130085,1314,235.3,sinhala,Valid
burglary,colombo street,2021-09-12,f,sinhala,50,23:20:00,Cloudy,7.292682175,80.63687733,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,420.6,sinhala,Valid
stabbing,municipal indoor sports complex,2021-09-14,f,sinhala,24,11:27:00,Rainy,7.284470243,80.624287,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,264.7,sinhala,Valid
burglary,kandy hospital,2021-09-15,m,sinhala,76,23:13:00,Rainy,7.287027089,80.63222686,Non-Holiday,0,Residential,Bogambara,LK2130145,2198,100.7,sinhala,Valid
burglary,pitakanda kanaththa,2021-09-16,m,sinhala,55,07:17:00,Rainy,7.097292143,80.52895825,Non-Holiday,0,General Urban,Pitakanda,LK2154140,16712,814.7,sinhala,Valid
stabbing,bogambara prison,2021-09-17,m,sinhala,34,22:52:00,Rainy,7.289453221,80.63354399,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,219.0,sinhala,Valid
burglary,municipal indoor sports complex,2021-09-18,m,sinhala,53,12:39:00,Rainy,7.283915552,80.62455161,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,205.5,sinhala,Valid
theft,watapuluwa,2021-09-19,m,sinhala,53,04:23:00,Rainy,7.318328164,80.64238395,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,142.4,sinhala,Valid
theft,kingswood,2021-09-19,m,sinhala,57,14:33:00,Rainy,7.276052536,80.61599779,Non-Holiday,0,Commercial,Mulgampala,LK2130210,13665,289.4,sinhala,Valid
burglary,pitakanda kanaththa,2021-09-22,m,sinhala,55,06:08:00,Rainy,7.096190451,80.53074732,Non-Holiday,0,General Urban,Pitakanda,LK2154140,16712,845.3,sinhala,Valid
theft,amaya hotel,2021-09-23,m,sinhala,44,06:18:00,Rainy,7.273476092,80.61305626,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,255.6,sinhala,Valid
robbery,lake house hotel,2021-09-24,f,sinhala,40,19:19:00,Rainy,7.268722056,80.59490763,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,387.8,sinhala,Valid
robbery,lake house hotel,2021-09-25,f,sinhala,40,13:52:00,Rainy,7.268589427,80.59339176,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,392.1,sinhala,Valid
burglary,ampitiya town,2021-09-27,f,sinhala,40,02:17:00,Rainy,7.27270392,80.65983438,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,435.0,sinhala,Valid
burglary,2nd rajasinghe lane,2021-09-27,m,muslim,46,13:22:00,Rainy,7.290479565,80.6325945,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,325.7,muslim,Valid
burglary,ampitiya town,2021-09-29,f,sinhala,40,19:03:00,Rainy,7.272664224,80.65832433,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,598.9,sinhala,Valid
burglary,udabowala,2021-09-29,m,sinhala,25,19:07:00,Rainy,7.264277445,80.61356983,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,453.5,sinhala,Valid
drugs,asgiriya stadium,2021-09-30,m,muslim,60,09:44:00,Rainy,7.30093316,80.63555274,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,289.7,muslim,Valid
vehicle theft,sahas uyana,2021-09-30,m,sinhala,37,14:53:00,Rainy,7.292901684,80.63878631,Non-Holiday,0,Recreational,Mahanuwara,LK2130120,11613,484.0,sinhala,Valid
drugs,bus stand,2021-10-01,f,sinhala,23,05:27:00,Rainy,7.301653215,80.63524141,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,213.1,sinhala,Valid
burglary,dalada maligawa,2021-10-03,m,sinhala,39,18:03:00,Rainy,7.292013053,80.64000261,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,454.4,sinhala,Valid
burglary,aruppala,2021-10-05,m,muslim,27,17:47:00,Rainy,7.310479324,80.6468942,Non-Holiday,0,General Urban,Aruppala East,LK2130050,1293,137.7,muslim,Valid
theft,bus stand,2021-10-05,f,sinhala,59,23:42:00,Rainy,7.289479761,80.63191443,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,241.2,sinhala,Valid
robbery,hanthane town,2021-10-07,m,sinhala,52,00:18:00,Rainy,7.270052524,80.63521302,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,388.7,sinhala,Valid
burglary,ampitiya town,2021-10-07,m,sinhala,33,11:29:00,Rainy,7.271237168,80.65877464,Non-Holiday,0,General Urban,Meddegama,LK2130250,12845,502.6,sinhala,Valid
drugs,asgiriya stadium,2021-10-08,m,muslim,60,06:30:00,Rainy,7.299986658,80.63490184,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,402.1,muslim,Valid
robbery,hanthane town,2021-10-09,m,sinhala,52,11:58:00,Rainy,7.269504057,80.63385955,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,473.2,sinhala,Valid
burglary,lake round,2021-10-11,m,sinhala,32,15:16:00,Rainy,7.288901907,80.63266383,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,151.3,sinhala,Valid
stabbing,rajapihilla road,2021-10-11,m,sinhala,33,17:19:00,Rainy,7.289144856,80.63870837,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,658.2,sinhala,Valid
drugs,sangamiththa college,2021-10-11,m,sinhala,46,20:24:00,Rainy,7.30898213,80.64863557,Non-Holiday,0,Commercial,Aruppala East,LK2130050,1293,279.0,sinhala,Valid
vehicle theft,dalada maligawa,2021-10-14,m,sinhala,45,02:01:00,Rainy,7.294192425,80.64107775,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,289.4,sinhala,Valid
theft,wagolla lewella,2021-10-14,m,muslim,33,03:28:00,Rainy,7.3032141,80.64968515,Non-Holiday,0,General Urban,Sirimalwatta West,LK2127180,18568,229.4,muslim,Valid
stabbing,post office,2021-10-16,f,sinhala,57,15:33:00,Rainy,7.289754518,80.63352961,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,250.7,sinhala,Valid
theft,rajapihilla,2021-10-17,m,sinhala,47,19:37:00,Cloudy,7.288595549,80.64157165,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,629.4,sinhala,Valid
burglary,suduhumpola,2021-10-18,m,sinhala,22,12:31:00,Rainy,7.28374542,80.62619002,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,168.5,sinhala,Valid
burglary,ampitiya town,2021-10-21,m,sinhala,42,18:03:00,Rainy,7.273613244,80.66095467,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,299.0,sinhala,Valid
robbery,golden crown,2021-10-25,f,sinhala,55,05:44:00,Rainy,7.274044787,80.65828056,Non-Holiday,0,Commercial,Ampitiya Udagama North,LK2130235,931,526.9,sinhala,Valid
robbery,golden crown,2021-10-26,f,sinhala,55,06:43:00,Rainy,7.277146749,80.658099,Non-Holiday,0,Commercial,Ampitiya Udagama North,LK2130235,931,220.4,sinhala,Valid
drugs,kotugodalla road,2021-10-27,f,sinhala,48,05:50:00,Rainy,7.297719337,80.63743765,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,202.1,sinhala,Valid
theft,heerassagala junction,2021-10-28,m,sinhala,23,10:58:00,Rainy,7.274558545,80.62109077,Non-Holiday,0,Commercial,Mulgampala,LK2130210,13665,474.3,sinhala,Valid
burglary,goerge.e.silva lane,2021-10-28,m,sinhala,36,15:54:00,Rainy,7.290859634,80.63537508,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,452.6,sinhala,Valid
vehicle theft,gatambe junction,2021-10-30,m,sinhala,35,11:30:00,Rainy,7.271212773,80.6056425,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,786.7,sinhala,Valid
stabbing,meekanuwa watarauma,2021-10-31,f,sinhala,28,06:51:00,Rainy,7.27894216,80.65280034,Non-Holiday,0,General Urban,Ampitiya Udagama North,LK2130235,931,425.6,sinhala,Valid
burglary,bus stand,2021-11-01,f,sinhala,26,15:08:00,Rainy,7.301180301,80.63615497,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,269.5,sinhala,Valid
robbery,car park,2021-11-03,m,sinhala,48,09:43:00,Rainy,7.280808813,80.61993896,Maha Sivarathri Day,1,Commercial,Suduhumpala West,LK2130165,18808,302.6,sinhala,Valid
robbery,bus stand,2021-11-03,m,sinhala,37,16:29:00,Rainy,7.288203154,80.63514375,Maha Sivarathri Day,1,Commercial,Bogambara,LK2130145,2198,251.3,sinhala,Valid
burglary,municipal indoor sports complex,2021-11-05,m,sinhala,54,13:31:00,Rainy,7.283248656,80.62471187,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,136.1,sinhala,Valid
burglary,rajapihilla road,2021-11-07,f,sinhala,48,02:05:00,Rainy,7.28896188,80.63972411,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,697.4,sinhala,Valid
robbery,bus stand,2021-11-07,m,sinhala,37,09:28:00,Rainy,7.289630177,80.63338173,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,233.6,sinhala,Valid
stabbing,mahaiyawa,2021-11-08,f,muslim,39,11:40:00,Rainy,7.305273613,80.63533367,Non-Holiday,0,General Urban,Mahaiyawa,LK2130065,11543,195.0,muslim,Valid
robbery,new queens hotel,2021-11-10,m,muslim,46,01:12:00,Rainy,7.291452973,80.63972416,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,511.6,muslim,Valid
drugs,sangamiththa college,2021-11-11,f,sinhala,33,08:17:00,Rainy,7.306665381,80.64818165,Non-Holiday,0,Commercial,Sirimalwatta West,LK2127180,18568,382.7,sinhala,Valid
robbery,walespark,2021-11-11,m,sinhala,44,12:53:00,Rainy,7.290719516,80.63569595,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,462.4,sinhala,Valid
burglary,dalada street,2021-11-14,m,sinhala,57,10:47:00,Rainy,7.293910966,80.6414138,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,250.0,sinhala,Valid
burglary,thannekumbura,2021-11-18,m,sinhala,47,01:11:00,Rainy,7.283159906,80.66129156,Il Full Moon Poya Day,1,General Urban,Thennakumbura,LK2130240,19383,176.0,sinhala,Valid
drugs,yatinuwara street,2021-11-20,m,tamil,17,03:53:00,Rainy,7.295906939,80.63694327,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,100.8,tamil,Valid
stabbing,aniwatte,2021-11-21,m,sinhala,38,07:13:00,Cloudy,7.291366972,80.62230882,Non-Holiday,0,General Urban,Aniwatta East,LK2130100,1107,402.0,sinhala,Valid
drugs,bus stand,2021-11-21,f,sinhala,36,16:14:00,Cloudy,7.255843,80.58887055,Non-Holiday,0,Commercial,Penideniya,LK2139135,16411,356.2,sinhala,Valid
drugs,kandy hospital,2021-11-22,m,sinhala,21,04:56:00,Rainy,7.285723534,80.63338608,Non-Holiday,0,Residential,Bogambara,LK2130145,2198,211.0,sinhala,Valid
stabbing,joy boat,2021-11-22,m,sinhala,31,22:03:00,Rainy,7.291079671,80.63630574,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,537.2,sinhala,Valid
burglary,lewella town,2021-11-24,m,sinhala,60,10:04:00,Rainy,7.299426875,80.64946619,Non-Holiday,0,General Urban,Lewella,LK2130125,11008,373.3,sinhala,Valid
theft,katugasthota road,2021-11-27,m,sinhala,35,10:49:00,Rainy,7.312158126,80.63119732,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,152.7,sinhala,Valid
stabbing,new queens hotel,2021-11-30,m,sinhala,27,22:37:00,Rainy,7.292261702,80.63874181,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,540.3,sinhala,Valid
burglary,gatambe junction,2021-12-01,m,sinhala,39,01:52:00,Cloudy,7.271897542,80.60463249,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,901.5,sinhala,Valid
robbery,dharmapala road lewella,2021-12-01,m,sinhala,21,17:20:00,Cloudy,7.300164919,80.65185218,Non-Holiday,0,General Urban,Sirimalwatta West,LK2127180,18568,517.7,sinhala,Valid
theft,lewella gangaramaya,2021-12-04,m,sinhala,50,09:43:00,Rainy,7.29675596,80.65008279,Non-Holiday,0,Commercial,Thalwatta,LK2130130,19105,164.9,sinhala,Valid
burglary,2nd rajasinghe lane,2021-12-05,f,muslim,48,05:43:00,Rainy,7.290128632,80.63237379,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,291.4,muslim,Valid
theft,thannekumbura,2021-12-11,f,sinhala,47,02:57:00,Rainy,7.282307911,80.66049804,Non-Holiday,0,General Urban,Thennakumbura,LK2130240,19383,198.6,sinhala,Valid
theft,buwelikada,2021-12-14,m,tamil,46,20:04:00,Rainy,7.297264435,80.65058551,Non-Holiday,0,Commercial,Thalwatta,LK2130130,19105,216.0,tamil,Valid
burglary,rajapihilla road,2021-12-15,m,sinhala,63,19:06:00,Rainy,7.287998813,80.64153491,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,692.9,sinhala,Valid
robbery,ampitiya udawela kanda,2021-12-16,m,sinhala,28,16:58:00,Rainy,7.270945211,80.66099326,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,419.8,sinhala,Valid
burglary,buwelikada,2021-12-18,m,sinhala,36,04:56:00,Rainy,7.292576623,80.64710867,Unduvap Full Moon Poya Day,1,General Urban,Boowelikada,LK2130135,2310,404.0,sinhala,Valid
robbery,lewella bangalaawatte,2021-12-20,m,muslim,50,04:04:00,Rainy,7.297279988,80.65110415,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,228.1,muslim,Valid
theft,meekanuwa watarauma,2021-12-20,f,sinhala,43,10:47:00,Rainy,7.281310273,80.6557535,Non-Holiday,0,General Urban,Ampitiya Udagama North,LK2130235,931,328.0,sinhala,Valid
