crime,location,date,sex,victim nationality,victim age,time,weather,Latitude,Longitude,Holiday_Name,Is_Holiday,Land_Use_Type,GN division,GN_pcode,GN_population,GN_distance_m
burglary,gatambe junction,01.12.2021,M,Sinhala,39,1:52,Cloudy,7.271897542,80.60463249,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,901.5
robbery,dharmapala road lewella,01.12.2021,M,Sinhala,21,17:20,Cloudy,7.300164919,80.65185218,Non-Holiday,FALSE,General Urban,Sirimalwatta West,LK2127180,18568,517.7
theft,lewella gangaramaya,04.12.2021,M,Sinhala,50,9:43,Rainy,7.29675596,80.65008279,Non-Holiday,FALSE,Commercial,Thalwatta,LK2130130,19105,164.9
burglary,2nd rajasinghe lane,05.12.2021,F,Muslim,48,5:43,Rainy,7.290128632,80.63237379,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,291.4
theft,thannekumbura,11.12.2021,F,sinhala,47,2:57,Rainy,7.282307911,80.66049804,Non-Holiday,FALSE,General Urban,Thennakumbura,LK2130240,19383,198.6
theft,buwelikada junction,14.12.2021,M,tamil ,46,20:04,Rainy,7.297264435,80.65058551,Non-Holiday,FALSE,Commercial,Thalwatta,LK2130130,19105,216
burglary,rajapihilla road,15.12.2021,M,Sinhala,63,19:06,Rainy,7.287998813,80.64153491,Non-Holiday,FALSE,General Urban,Boowelikada,LK2130135,2310,692.9
robbery,ampitiya udawela kanda,16.12.2021,M,Sinhala,28,16:58,Rainy,7.270945211,80.66099326,Non-Holiday,FALSE,General Urban,Ampitiya Pallegama,LK2130245,928,419.8
burglary,boowelikada,18.12.2021,M,sinhala,36,4:56,Rainy,7.292576623,80.64710867,Unduvap Full Moon Poya Day,TRUE,General Urban,Boowelikada,LK2130135,2310,404
robbery,lewella bangalaawatte,20.12.2021,M,muslim,50,4:04,Rainy,7.297279988,80.65110415,Non-Holiday,FALSE,General Urban,Thalwatta,LK2130130,19105,228.1
theft,meekanuwa watarauma ,20.12.2021,F,sinhala,43,10:47,Rainy,7.281310273,80.6557535,Non-Holiday,FALSE,General Urban,Ampitiya Udagama North,LK2130235,931,328
stabbing,hanthane,21.12.2021,M,Sinhala,43,21:14,Rainy,7.268852146,80.63589129,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,527.7
theft,joy boat,22.12.2021,F,sinhala,34,0:39,Rainy,7.290364931,80.63765737,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,604.4
stabbing,katukale,23.12.2021,M,Muslim,50,23:09,Cloudy,7.287666561,80.62705017,Non-Holiday,FALSE,General Urban,Deiyannewela,LK2130150,3143,255.2
theft,Lady golden road,26.12.2021,M,Sinhala,50,6:48,Cloudy,7.292566022,80.63234009,Non-Holiday,FALSE,Commercial,Ihala Katukele,LK2130115,6925,203.7
robbery,boowelikada,27.12.2021,M,Sinhala,29,17:18,Sunny,7.292429143,80.64349564,Non-Holiday,FALSE,General Urban,Boowelikada,LK2130135,2310,159.9
robbery,hospital street,29.12.2021,M,Sinhala,18,10:55,Cloudy,7.27008985,80.61152687,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,184.5
burglary,gurudeniya,29.12.2021,F,sinhala,37,15:20,Cloudy,7.266292548,80.69094964,Non-Holiday,FALSE,General Urban,Gurudeniya Dambawela,LK2130285,5635,770.2
vehicle theft,bowalawatte,01.01.2022,M,sinhala,17,6:42,Rainy,7.258048972,80.62517488,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,808.4
drugs,thannekumbura,01.01.2022,M,Sinhala,35,15:46,Rainy,7.281556774,80.66076305,Non-Holiday,FALSE,General Urban,Thennakumbura,LK2130240,19383,287.1
stabbing,hospital street,01.01.2022,F,Sinhala,38,20:32,Rainy,7.269913647,80.6091121,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,428.4
burglary,peradeniya,02.01.2022,F,Muslim,61,5:43,Rainy,7.270445261,80.59283757,Non-Holiday,FALSE,General Urban,Getambe,LK2130180,5235,217.9
drugs,car park,04.01.2022,M,Sinhala,15,11:37,Rainy,7.281242569,80.62015594,Non-Holiday,FALSE,Commercial,Suduhumpala West,LK2130165,18808,282.4
burglary,mulgampola,05.01.2022,F,Muslim,54,8:39,Rainy,7.278855472,80.61803561,International Workers' Day,TRUE,General Urban,Welata,LK2130170,21826,408.4
stabbing,kotugodalla road,07.01.2022,M,Sinhala,35,22:20,Cloudy,7.297341075,80.63483076,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,181.6
robbery,Municipal indoor sports complex,10.01.2022,F,Sinhala,43,19:11,Rainy,7.284335144,80.62675849,Non-Holiday,FALSE,Commercial,Suduhumpala East,LK2130160,18807,255.8
burglary,pathanawatte heerassagala,11.01.2022,F,Sinhala,60,5:26,Rainy,7.262857717,80.61778985,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,405.1
drugs,dodamwela bridge,11.01.2022,M,Sinhala,30,14:11,Rainy,7.285980225,80.60979713,Non-Holiday,FALSE,General Urban,Aniwatta West,LK2130175,1109,669.2
theft,panideniya bus stand,12.01.2022,F,Sinhala,20,4:27,Rainy,7.253115542,80.59100396,Non-Holiday,FALSE,Commercial,Penideniya,LK2139135,16411,430.9
stabbing,highschool,12.01.2022,M,Muslim,57,13:41,Rainy,7.290905335,80.63524627,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,448.5
robbery,panideniya bus stand,15.01.2022,F,Muslim,42,3:57,Rainy,7.256704048,80.5912394,Non-Holiday,FALSE,Commercial,Palle Peradeniya,LK2130195,15522,520.6
stabbing,katugasthota,18.01.2022,F,Sinhala,25,18:11,Rainy,7.334806641,80.62032954,Non-Holiday,FALSE,General Urban,Kalugalawatta,LK2112245,8028,216.7
theft,Torrington,20.01.2022,M,Sinhala,34,11:57,Cloudy,7.293461446,80.63581669,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,329.2
stabbing,paradeniya road,21.01.2022,M,Sinhala,46,4:13,Cloudy,7.280789721,80.6189678,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,409.7
burglary,lewella,21.01.2022,M,Sinhala,26,14:07,Cloudy,7.300328338,80.65144835,Non-Holiday,FALSE,General Urban,Sirimalwatta West,LK2127180,18568,494
robbery,KCC,21.01.2022,M,Sinhala,51,16:33,Cloudy,7.292783272,80.63879029,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,494.9
theft,highschool,22.01.2022,M,Muslim,50,3:48,Cloudy,7.291762761,80.63422684,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,430.1
burglary,bus stand,22.01.2022,M,Sinhala,22,17:59,Cloudy,7.299082995,80.63460255,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,345.1
theft,dalada maligawa,22.01.2022,M,Sinhala,36,22:16,Cloudy,7.292861833,80.64085144,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,330.9
vehicle theft,heerassagala,23.01.2022,M,Muslim,47,20:50,Rainy,7.261026987,80.61913119,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,240.2
burglary,in front of post office,24.01.2022,M,Sinhala,41,14:11,Cloudy,7.290098085,80.63530495,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,382.1
burglary,asgiriya stadium,24.01.2022,M,Sinhala,25,14:54,Cloudy,7.29999749,80.63365662,Non-Holiday,FALSE,Commercial,Poorna Watta West,LK2130080,17006,354.1
drugs,thannekumbura,29.01.2022,M,Sinhala,24,20:52,Rainy,7.282668464,80.65998009,Non-Holiday,FALSE,General Urban,Thennakumbura,LK2130240,19383,148.9
drugs,gatambe junction,30.01.2022,F,Muslim,70,9:17,Rainy,7.27246993,80.60471289,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,900.5
theft,maligawa,31.01.2022,M,muslim,48,21:28,Rainy,7.294741023,80.64176299,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,233.2
drugs,hanathane kadurata malshalawa,01.02.2022,M,Muslim,26,12:42,Cloudy,7.290368222,80.631227,Non-Holiday,FALSE,Commercial,Deiyannewela,LK2130150,3143,318
burglary,hospital street,03.02.2022,M,Sinhala,54,16:35,Cloudy,7.268743805,80.60936095,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,464.8
burglary,peradeniya road,03.02.2022,M,sinhala,42,22:35,Cloudy,7.28193029,80.6196691,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,354.2
theft,mulgampola,04.02.2022,M,Sinhala,53,13:53,Cloudy,7.278818675,80.61479231,Non-Holiday,FALSE,General Urban,Welata,LK2130170,21826,51.2
theft,wewathanne road,04.02.2022,M,Sinhala,19,18:09,Cloudy,7.167524201,80.59696606,Non-Holiday,FALSE,Commercial,Wewathenna,LK2142095,22268,718.9
theft,panideniya bus stand,07.02.2022,M,Muslim,61,14:03,Rainy,7.256783005,80.58891526,Non-Holiday,FALSE,Commercial,Godagandeniya,LK2130190,5339,369.2
theft,rosawatte,08.02.2022,M,Sinhala,46,11:13,Cloudy,7.291636476,80.63483049,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,497
robbery,Lady golden road,09.02.2022,M,muslim,48,21:13,Cloudy,7.288883996,80.63371852,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,168.4
theft,people's bank,11.02.2022,M,Sinhala,27,12:36,Rainy,7.292415535,80.63406796,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,390.8
robbery,ogastawatte,11.02.2022,M,sinhala,58,22:21,Rainy,7.289412455,80.63212871,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,224
stabbing,malwatte,14.02.2022,M,Sinhala,35,16:20,Rainy,7.276743,80.64147725,Non-Holiday,FALSE,General Urban,Malwatta,LK2130140,12099,140.2
stabbing,bus stand,15.02.2022,M,Sinhala,58,12:11,Cloudy,7.302279504,80.63526956,Non-Holiday,FALSE,Commercial,Mahaiyawa,LK2130065,11543,144.3
stabbing,yatinuwara street,15.02.2022,M,Sinhala,18,20:31,Cloudy,7.294086026,80.63762132,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,302.7
burglary,2nd rajasinghe lane,16.02.2022,M,Sinhala,28,13:03,Cloudy,7.290364747,80.63510047,Nawam Full Moon Poya Day,TRUE,General Urban,Bogambara,LK2130145,2198,390.3
burglary,Torrington,17.02.2022,M,tamil ,36,22:47,Cloudy,7.293111294,80.63455465,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,407.2
robbery,mahaiyawa,20.02.2022,M,Muslim,52,3:39,Rainy,7.305838241,80.6347087,Non-Holiday,FALSE,General Urban,Mahaiyawa,LK2130065,11543,273.5
theft,dodamwela,20.02.2022,M,sinhala,72,9:19,Rainy,7.294221721,80.54063782,Non-Holiday,FALSE,General Urban,Ihala Dodamwala,LK2136120,6861,477.2
drugs,highschool,23.02.2022,M,Sinhala,22,21:43,Rainy,7.289710878,80.63230965,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,248.2
burglary,sri wickramasinghe mawatha,24.02.2022,M,Muslim,39,8:47,Rainy,7.288951465,80.64242969,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,562.4
drugs,in front train station,25.02.2022,F,Sinhala,31,20:10,Rainy,7.289457363,80.63352325,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,218.7
stabbing,sirimawo bandaranayake lane,25.02.2022,M,sinhala,36,21:33,Rainy,7.267461581,80.59511659,Non-Holiday,FALSE,Commercial,Getambe,LK2130180,5235,529.1
burglary,2nd rajasinghe lane,26.02.2022,F,Muslim,77,8:32,Rainy,7.29231907,80.63543545,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,461.2
robbery,kandy city mosk,26.02.2022,M,muslim,62,8:37,Rainy,7.291323701,80.63214635,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,271.6
burglary,bowalawatte,28.02.2022,M,Sinhala,60,18:17,Rainy,7.257625961,80.62517897,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,817.7
drugs,rosawatte,01.03.2022,M,Sinhala,45,15:45,Rainy,7.289889386,80.63280728,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,258.1
vehicle theft,mada bowala angampitiya,05.03.2022,F,Sinhala,34,3:27,Rainy,7.270910417,80.61380222,Eid al-Fitr,TRUE,General Urban,Bowala,LK2130205,2430,117.6
burglary,kandy hospital,05.03.2022,F,muslim,30,13:43,Rainy,7.286706471,80.63234685,Eid al-Fitr,TRUE,Residential,Bogambara,LK2130145,2198,117.4
theft,Primrose gardens,10.03.2022,M,Sinhala,40,4:57,Rainy,7.279326383,80.61159992,Non-Holiday,FALSE,Commercial,Welata,LK2130170,21826,308.5
stabbing,peradeniya road,10.03.2022,M,sinhala,45,15:20,Rainy,7.282535581,80.6195692,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,392.3
stabbing,hewaheta road,14.03.2022,M,Sinhala,44,13:42,Cloudy,7.293786856,80.64935695,Non-Holiday,FALSE,General Urban,Thalwatta,LK2130130,19105,210.9
burglary,thalaathuoya road,15.03.2022,F,Sinhala,57,13:52,Rainy,7.246270436,80.68592727,Non-Holiday,FALSE,General Urban,Batagalla,LK2145100,1785,475.6
burglary,thalaathuoya road,19.03.2022,M,Sinhala,60,21:35,Rainy,7.248840139,80.68569006,Non-Holiday,FALSE,General Urban,Batagalla,LK2145100,1785,534.7
burglary,malwatte,21.03.2022,F,sinhala,43,14:41,Rainy,7.276554256,80.64102621,Non-Holiday,FALSE,General Urban,Malwatta,LK2130140,12099,122.6
burglary,bogambara prison,21.03.2022,M,Sinhala,26,22:21,Rainy,7.289072203,80.63482363,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,265.1
drugs,bogambara official police stayhouse,22.03.2022,M,Sinhala,25,5:41,Rainy,7.28882931,80.63567901,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,331.3
theft,golden crown,22.03.2022,M,Sinhala,61,16:50,Rainy,7.275693079,80.65599953,Non-Holiday,FALSE,Commercial,Ampitiya Udagama North,LK2130235,931,318.9
drugs,sahas uyana,25.03.2022,M,Sinhala,25,20:39,Rainy,7.290562149,80.63617046,Non-Holiday,FALSE,Recreational,Bogambara,LK2130145,2198,486
drugs,yatinuwara street,26.03.2022,M,Sinhala,60,22:25,Rainy,7.297537831,80.63689909,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,149.5
drugs,joy boat,28.03.2022,F,sinhala,54,19:09,Rainy,7.291919623,80.63739617,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,516.1
stabbing,post office,01.04.2022,M,muslim,40,21:18,Rainy,7.29065859,80.63393915,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,359.9
theft,mahaiyawa cemetary,02.04.2022,M,Sinhala,33,10:55,Rainy,7.302987918,80.63160666,Independence Day,TRUE,General Urban,Poorna Watta West,LK2130080,17006,84.8
burglary,udabowala,03.04.2022,F,Sinhala,51,12:25,Rainy,7.265139856,80.61477371,Non-Holiday,FALSE,General Urban,Uda Bowala,LK2130200,19819,306.2
burglary,train station,04.04.2022,M,Sinhala,46,12:23,Rainy,7.292320303,80.63325968,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,308.3
burglary,hanathane kadurata malshalawa,04.04.2022,M,Sinhala,32,13:26,Rainy,7.286703197,80.63242934,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,112.8
burglary,sri wickramasinghe mawatha,05.04.2022,M,Sinhala,44,6:14,Rainy,7.286820784,80.63876986,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,646.7
robbery,galkaduwa junction,09.04.2022,M,Sinhala,20,20:00,Rainy,7.308443575,80.63952025,Non-Holiday,FALSE,Commercial,Watapuluwa West,LK2130060,21493,214.4
theft,widyarthe college,11.04.2022,M,sinhala,30,15:31,Rainy,7.304069494,80.63312924,Non-Holiday,FALSE,Commercial,Mahaiyawa,LK2130065,11543,277.6
stabbing,kandy hospital,11.04.2022,M,muslim,43,21:02,Rainy,7.285212349,80.63319671,Non-Holiday,FALSE,Residential,Bogambara,LK2130145,2198,263.8
stabbing,kingswood,11.04.2022,M,muslim,39,21:25,Rainy,7.276101285,80.61667002,Non-Holiday,FALSE,Commercial,Mulgampala,LK2130210,13665,278.4
burglary,sri sumangala mawatha,13.04.2022,M,muslim,42,7:53,Rainy,7.497065176,80.62288606,Day Before Sinhala and Tamil New Year,TRUE,General Urban,Dehiwatta,LK2106015,3133,8111.7
stabbing,polgolla,13.04.2022,M,sinhala,33,9:25,Rainy,7.315790781,80.65233655,Day Before Sinhala and Tamil New Year,TRUE,General Urban,Pallegunnepana North,LK2127175,15562,170.5
burglary,goodshed bus stand,15.04.2022,M,sinhala,17,13:43,Rainy,7.28880049,80.63167931,Good Friday,TRUE,Commercial,Bogambara,LK2130145,2198,196.1
drugs,dalada maligawa,15.04.2022,F,sinhala,54,20:16,Rainy,7.294360125,80.64247212,Good Friday,TRUE,Commercial,Boowelikada,LK2130135,2310,144.6
burglary,people's bank,16.04.2022,M,muslim,40,23:05,Rainy,7.29115758,80.63189942,Bak Full Moon Poya Day,TRUE,General Urban,Ihala Katukele,LK2130115,6925,271.3
burglary,hanthane watte,17.04.2022,M,Muslim,31,6:28,Rainy,7.267461523,80.63580771,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,680.1
drugs,in front of post office,18.04.2022,M,Sinhala,42,7:39,Rainy,7.289237708,80.63527188,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,315.5
burglary,goerge.E. silva lane,19.04.2022,M,Sinhala,38,5:27,Rainy,7.29097724,80.63292807,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,357.9
theft,Sri Dalada Maligawa,19.04.2022,M,Sinhala,33,23:09,Rainy,7.294278448,80.6394936,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,435.4
burglary,asgiriya   ,23.04.2022,M,Sinhala,58,5:48,Rainy,7.298915706,80.63141718,Non-Holiday,FALSE,General Urban,Asgiriya,LK2130085,1314,279.2
drugs,hanthane watte,23.04.2022,M,Sinhala,40,6:23,Rainy,7.269173765,80.63469765,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,489.5
burglary,D.S senanayake lane,23.04.2022,M,Sinhala,63,19:04,Rainy,7.299147751,80.6381752,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,376.7
stabbing,kandy,23.04.2022,F,Sinhala,39,23:40,Rainy,7.291658733,80.63237092,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,261.1
stabbing,hospital street,24.04.2022,M,tamil ,41,16:51,Rainy,7.27023904,80.61041678,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,281
drugs,KCC commercial bank,25.04.2022,F,Sinhala,52,13:09,Rainy,7.291789865,80.63653955,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,514.3
drugs,hospital street,26.04.2022,F,muslim,43,5:59,Rainy,7.269675867,80.61084765,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,271.5
burglary,polgolla,26.04.2022,M,Muslim,52,14:25,Rainy,7.316061913,80.65187069,Non-Holiday,FALSE,General Urban,Pallegunnepana North,LK2127175,15562,221.2
burglary,KCC,30.04.2022,M,Sinhala,38,14:50,Rainy,7.292409903,80.63778741,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,478
robbery,goerge.E.Silva lane,01.05.2022,M,Sinhala,26,19:58,Rainy,7.291715596,80.63473933,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,484.6
theft,aniwatte,03.05.2022,M,Sinhala,51,20:13,Cloudy,7.290096961,80.62251957,Non-Holiday,FALSE,General Urban,Aniwatta East,LK2130100,1107,390.7
stabbing,dodamwela bridge,05.05.2022,M,sinhala,35,16:03,Rainy,7.28789067,80.60872938,Non-Holiday,FALSE,General Urban,Haloluwa,LK2133410,5808,589.9
robbery,nagasthanne,05.05.2022,M,Sinhala,37,22:02,Rainy,7.279509392,80.63252829,Non-Holiday,FALSE,General Urban,Nagasthenna,LK2130155,13921,402.5
drugs,2nd rajasinghe lane,06.05.2022,M,Sinhala,41,13:11,Rainy,7.289513515,80.63307412,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,216.2
stabbing,Municipal indoor sports complex,06.05.2022,M,Sinhala,29,14:42,Rainy,7.286546016,80.62473392,Non-Holiday,FALSE,Commercial,Katukele West,LK2130105,8913,332.9
burglary,katukale,07.05.2022,F,muslim,55,7:52,Rainy,7.28741239,80.62842294,Non-Holiday,FALSE,General Urban,Deiyannewela,LK2130150,3143,133.4
burglary,wadugodapitiya,07.05.2022,M,Sinhala,35,13:03,Rainy,7.292184369,80.63439915,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,432.7
drugs,provincial education department,13.05.2022,M,Sinhala,24,6:35,Rainy,7.288964262,80.63465719,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,243.3
burglary,gatambe,13.05.2022,M,Sinhala,15,8:31,Rainy,7.26957054,80.59906996,Non-Holiday,FALSE,General Urban,Getambe,LK2130180,5235,631
burglary,car park,13.05.2022,M,Sinhala,51,16:43,Rainy,7.281939222,80.61847078,Non-Holiday,FALSE,Commercial,Suduhumpala West,LK2130165,18808,480.6
vehicle theft,kotugodalla road,14.05.2022,M,Sinhala,34,12:47,Rainy,7.296307948,80.63700464,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,91.9
burglary,hanthane,14.05.2022,M,sinhala,60,13:27,Rainy,7.269613787,80.63393034,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,459.2
robbery,ampitiya,15.05.2022,F,Sinhala,27,21:24,Rainy,7.273703536,80.65953642,Vesak Full Moon Poya Day,TRUE,General Urban,Ampitiya Pallegama,LK2130245,928,455.4
burglary,sahas uyana,15.05.2022,M,tamil ,35,22:50,Rainy,7.290716878,80.63847968,Vesak Full Moon Poya Day,TRUE,Recreational,Boowelikada,LK2130135,2310,671.4
drugs,train station,17.05.2022,F,Sinhala,29,9:38,Rainy,7.291153814,80.63481501,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,447.9
robbery,hanthane,18.05.2022,M,Sinhala,46,14:16,Rainy,7.269570629,80.63457252,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,447.6
burglary,peradeniya,22.05.2022,F,Sinhala,34,14:51,Rainy,7.271017559,80.59262332,Non-Holiday,FALSE,General Urban,Getambe,LK2130180,5235,186.4
stabbing,thalaathuoya road,22.05.2022,M,Muslim,49,16:04,Rainy,7.249457277,80.68648348,Non-Holiday,FALSE,General Urban,Thalathuoya East,LK2145090,18993,528.5
drugs,Municipal indoor sports complex,22.05.2022,M,Sinhala,39,16:22,Rainy,7.286242315,80.62641619,Non-Holiday,FALSE,Commercial,Deiyannewela,LK2130150,3143,387.6
stabbing,new queens hotel,24.05.2022,M,tamil ,43,8:51,Rainy,7.291954137,80.63683291,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,499.7
robbery,katugasthota,24.05.2022,F,sinhala,37,9:43,Rainy,7.337079481,80.62070496,Non-Holiday,FALSE,General Urban,Kalugalawatta,LK2112245,8028,376.8
burglary,bowala ,25.05.2022,F,Sinhala,35,15:54,Rainy,7.271273448,80.61191985,Non-Holiday,FALSE,General Urban,Bowala,LK2130205,2430,94.7
drugs,panideniya bus stand,26.05.2022,M,Sinhala,21,11:33,Rainy,7.255348636,80.58808457,Non-Holiday,FALSE,Commercial,Penideniya,LK2139135,16411,266
robbery,pattiyakale watte,26.05.2022,M,muslim,32,13:49,Rainy,7.290859578,80.63223063,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,318.8
drugs,pathanawatte heerassagala,28.05.2022,M,Sinhala,35,1:00,Rainy,7.262537353,80.61766255,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,370.4
robbery,heerassagala junction,29.05.2022,M,sinhala,31,14:24,Rainy,7.274979656,80.62171516,Non-Holiday,FALSE,Commercial,Mulgampala,LK2130210,13665,552.7
theft,rajapihilla lane,29.05.2022,M,Sinhala,38,22:54,Rainy,7.286051533,80.64078156,Non-Holiday,FALSE,General Urban,Ampitiya South,LK2130225,929,725
burglary,pattiyakale watte,30.05.2022,M,sinhala,32,22:01,Rainy,7.292120734,80.63557203,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,480.6
vehicle theft,mahaiyawa,01.06.2022,M,Sinhala,49,10:59,Rainy,7.304946164,80.63480166,Non-Holiday,FALSE,General Urban,Mahaiyawa,LK2130065,11543,179
robbery,peradeniya road,04.06.2022,M,sinhala,44,8:24,Rainy,7.282810322,80.62280015,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,220.7
theft,D.S senanayake lane,06.06.2022,M,Sinhala,32,10:48,Rainy,7.297410461,80.63709946,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,151.6
burglary,buwelikada junction,06.06.2022,M,Sinhala,34,20:30,Rainy,7.298788668,80.65307636,Non-Holiday,FALSE,Commercial,Thalwatta,LK2130130,19105,480.2
theft,mahamaya primary,08.06.2022,M,Sinhala,41,19:10,Cloudy,7.2906583,80.64540687,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,403.3
drugs,sky gate hotel,09.06.2022,F,Sinhala,78,19:33,Rainy,7.284883398,80.6573087,Non-Holiday,FALSE,Commercial,Thennakumbura,LK2130240,19383,306.6
drugs,bowalawatte,10.06.2022,M,sinhala,36,19:44,Cloudy,7.256127564,80.62380033,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,731.9
stabbing,Bogambara Bus Stand,11.06.2022,M,muslim,47,15:18,Rainy,7.290562574,80.63281646,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,332.8
theft,gatambe junction,11.06.2022,M,Sinhala,16,18:55,Rainy,7.272050959,80.6046705,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,899
drugs,D.S senanayake lane,11.06.2022,M,tamil ,28,19:23,Rainy,7.29815359,80.63654783,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,199.2
theft,Bogambara Bus Stand,12.06.2022,M,Sinhala,36,19:19,Rainy,7.290370035,80.63463408,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,362
stabbing,sahas uyana,13.06.2022,F,sinhala,42,9:09,Rainy,7.291476475,80.63644354,Non-Holiday,FALSE,Recreational,Mahanuwara,LK2130120,11613,548.3
burglary,gatambe bridge,14.06.2022,F,Sinhala,56,4:01,Rainy,7.273177725,80.60383111,Poson Full Moon Poya Day,TRUE,Commercial,Bowala,LK2130205,2430,1010.9
theft,gatambe junction,14.06.2022,F,sinhala,34,5:25,Rainy,7.272675606,80.60649645,Poson Full Moon Poya Day,TRUE,Commercial,Bowala,LK2130205,2430,711.9
theft,ampitiyaa,14.06.2022,M,sinhala,39,15:39,Rainy,7.274267554,80.6607262,Poson Full Moon Poya Day,TRUE,General Urban,Ampitiya Pallegama,LK2130245,928,331.7
burglary,udabowala,14.06.2022,M,Sinhala,59,18:53,Rainy,7.264280638,80.61710782,Poson Full Moon Poya Day,TRUE,General Urban,Uda Bowala,LK2130200,19819,405
